bd_swab_id,extraction_plate_id,qpcr_plate_id,result,average_copy_number,average_ct,average_zoospores,comments,standard,master_mix,replicate,qpcr_machine,extraction_kit,extraction_date,qpcr_date,qpcr_lab,extract_lab
140520_01,jmextractions20150511,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140521_01,jmextractions20150511,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140521_02,jmextractions20150511,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140521_03,jmextractions20150511,jm7_20150512,"p,p,p",462.65,34.02,370117.5,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140521_04,jmextractions20150511,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140521_05,jmextractions20150511,jm7_20150512,"p,p,p",35.15,38.15,28120.55,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_01,jmextractions20150511,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_02,jmextractions20150511,jm7_20150512,"p,p,p",139.25,35.92,111402.36,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_03,jmextractions20150511,jm7_20150512,"p,p,p",13.78,39.58,11025.37,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_04,jmextractions20150511,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_05,jmextractions20150511,jm7_20150512,"p,p,p",9.54,40.25,7628.23,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_06,jmextractions20150511,jm11_20150519,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_07,jmextractions20150511,jm12_20150602,"p,n,n",4.8,41.85,3843.91,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_08,jmextractions20150511,jm12_20150602,"p,p,p",198.37,36.32,158696.48,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_09,jmextractions20150511,jm12_20150602,"p,p,p",113.62,37.16,90899.96,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_10,jmextractions20150511,jm12_20150602,"p,p,p",261.32,35.9,209052.98,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_11,jmextractions20150511,jm12_20150602,"p,p,p",10372.17,30.45,8297735.16,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_12,jmextractions20150511,jm12_20150602,"p,p,p",19.7,39.74,15758.22,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_13,jmextractions20150511,jm12_20150602,"p,p,p",24.97,39.38,19978.62,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_14,jmextractions20150511,jm12_20150602,"p,p,n",60.8,38.05,48637.42,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_15,jmextractions20150511,jm12_20150602,"p,n,n",5.95,41.53,4757.92,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_16,jmextractions20150511,jm12_20150602,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_17,jmextractions20150511,jm12_20150602,"p,p,p",129.17,36.95,103335.58,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_18,jmextractions20150511,jm12_20150602,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_19,jmextractions20150511,jm12_20150602,"p,p,p",27.48,39.36,21986.65,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_20,jmextractions20150511,jm12_20150602,"p,n,n",5.09,41.76,4075.24,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_21,jmextractions20150511,jm12_20150602,"p,n,n",15.71,40.08,12569.75,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_22,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_23,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_24,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_25,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_26,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_27,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140522_28,cbjmextractions_20150520_01,jm14_20150610,"p,p,p",1547.53,33.38,1238023.24,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140523_01,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140523_02,cbjmextractions_20150520_01,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_01,cbjmextractions_20150520_01,jm12_20150602,"p,n,n",5.08,41.76,4066.19,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_02,cbjmextractions_20150520_01,jm12_20150602,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_03,cbjmextractions_20150520_01,jm12_20150602,"p,n,n",12.03,40.48,9627.16,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_04,cbjmextractions_20150520_01,jm12_20150602,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_05,cbjmextractions_20150520_01,jm12_20150602,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_06,cbjmextractions_20150520_01,jm15_20150622,"n,n,p",20.46,39.15,16369.62,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_07,cbjmextractions_20150520_01,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_08,cbjmextractions_20150520_01,jm15_20150622,"n,n,p",8.51,40.58,6811.2,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_09,cbjmextractions_20150520_01,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_10,cbjmextractions_20150520_01,jm15_20150622,"n,n,p",6.72,40.96,5379.56,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_11,cbjmextractions_20150520_01,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140524_12,dmcbextractions_20150609,jm15_20150622,"n,n,p",13.59,39.81,10874.99,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_01,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_02,dmcbextractions_20150609,jm15_20150622,"n,n,p",6.72,40.96,5372.71,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_03,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_04,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_05,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_06,dmcbextractions_20150609,jm15_20150622,"p,p,p",20.06,39.2,16049.51,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_07,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_08,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_09,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_10,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_11,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_12,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_13,dmcbextractions_20150609,jm15_20150622,"n,n,p",3.29,42.12,2629.33,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140526_14,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140527_01,dmcbextractions_20150609,jm15_20150622,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140527_02,rgp_extraction3_20141023,rgp_20141107,"n,p,p",22.75,36.84,18198.84,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140527_03,dmcbextractions_20150609,jm15_20150622,"n,p,p",14.84,39.67,11874.36,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140527_04,dmcbextractions_20150609,jm16_20150623,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140527_05,dmcbextractions_20150609,jm16_20150623,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
